丫	Daemon	Yaya
生安白造	Sheng'anbai	BIANAN WHITE
生晒	Exposure	Sun-drying
生生性性	Life	Biological sexuality
生銹	rust	Rust
生蛇	Snake	Snakes
生鍟	Raw	Raw
省城	provincial capital	provincial cities
生水芋頭	Raw water taro	Raw Taro
生性	Nature	Biological sex
生雪	Raw snow	Raw Snow
散工	Scattered worker	Scattered Worker
生烏雞	Raw black chicken	Raw Silkie
生痄腮	Gill	Raw cheeks
生仔	Raw	Raw boy
生仔冇屎框	Raw a baby shit frame	No Shit
生仔唔知仔心肝	Shengzi knows the heart and liver	Don't know the liver
生螆	Raw	Raw
生癪	Raw	Raw
生螆貓	Raw cat	Raw cat
生螆貓入眼	Raw cats	Raw cat into the eye
生招牌	Signboard	Raw signboard
山坑	Mountain pit	Mountain Pit
山烙鐵頭	Iron head	Mountain Soldering Iron Tip
山窿	Mountain	Hillhole
閂๺	闩 闩 闩	Latch
山泥傾瀉	Pour	Landslide
散銀	Scattered silver	Loose Silver
散銀包	Scattered silver bag	Bulk Wallet
山棯	Hill	Mountain sillside
山婆	Mountain wives	Mountain Po
散晒	Scattering	Scatter
散收收	Disperse	scatter
閂死	Be dead	Latch
山瑞	Shanrui	Shan Rui
散水	Scattered water	Water dispersion
散水餅	Loose cake	Scattered water cake
閂水喉	Pyrine	Latch Plumbing
山水有相逢	The landscape meets	Landscape meet
珊瑚蛇	Coral snake	Coral Snake
山寨廠	Cottage factory	Cottage Factory
散仔	Scattered	Scattered
散紙	Loose paper	Loose Paper
散紙包	Scattered paper bag	Loose Paper Bag
山竹牛肉	Mangosteen beef	Mangosteen Beef
山豬	Pork	boar
山主	Mountain master	Mountain Master
SHARP	Sharp	SHARP
喢	Bleak	
圾	Rubbish	Rubbish
澀	astringent	astringent
霎	For a moment	Sharp
ⶍ	Bleak	
霎	For a moment	Sharp
喢	Bleak	
炠	Bleak	
烚	Bleak	Boil
煈	Bleak	
煠	Bleak	
熠	Sparkle	shine
䆣	Bleak	
烚蛋	烚 烚	Boiled egg
霎氣	Breath	Sharp
霎眼	blink	Sharp eye
霎眼嬌	For a moment	Sharp Eye
霎戇	Stun	Sharp
喢喢聲	Squeak	CLAIMER
霎時間	Time	Sharp time
烚熟狗頭	烚 烚 烚 烚	Boiled dog head
砂盆	Sandpiece	Sand Basin
沙沙滾	Roller	Rustle Roll
唦唦滾	Roll	Rolled
啥啥聲	What	What sound?
耍手	Play	Play hands
耍手擰頭	Twist your head	Hand screwing head
沙士	Satoshi	Sar
沙示	Sand show	Shaxie
沙蟬	Sand cicada	Sand Cicada
沙蟬殼	Sand cicada shell	Sand Cicada Shell
剎	brake	brakes
撒	spread	Sprinkle
殺	kill	Kill
煞	Dispel	Brakes
薩	Salad	Sa
耍太極	Play Tai Chi	Tai-chi
沙灘老鼠	Beach mouse	Beach Mouse
沙灘泳屋	Beach swimming house	Beach Pool
殺起	Kill	Kill!
沙田柚	Shatian pomelo	Sha Tin Pomelo
撒溪錢	Sauxian	Stream money
煞食	Stingy	BRAKE
煞掣	Sorrow	Brake
筲	bucket	ShauU
哨	post	Whistle
潲	Bleak	
餿	rancid	
睄	Bleak	
࿫	Bleak	
ⶠ	Bleak	
勘	survey	
筲箕	Shau ​​Kei	Shaukeiwan
哨牙	Whistle tooth	Whistle Teeth
哨牙佬	Sponge	Whistle Guy
哨牙妹	Splitting girl	Whistle sister
哨牙仔	Tadpan	Whistle Tooth
潲水	Water	Lishui
潲水桶	Pyrite	bucket
沙井	Shaft	manhole
沙紙	Sand paper	Sand Paper
沙展	Sand exhibition	Sand Show
嘶	hiss	hissing
噬	bite	Eater
犀	Rhinoceros	Rhino
篩	screen	Sieve
茜	Cricket	Akane
西	West	WEST
使	make	Make
洗	wash	Wash
駛	Drove	Driving
世	World	world
勢	Potential	potential
婿	husband	son-son
細	thin	Fine
細	thin	Fine
噬	bite	Eater
噬	bite	Eater
誓	oath	Oath
細押	Detained	Fine
世伯	Uncle	Seber
洗白白	Wash	Wash White
細啤	Beer	Fine beer
西餅	Western cake	Cake
西餅店	Cake shop	Cake Shop
西餅咭	West cake 咭	Cake Card
西餅舖	Cake shop	Cake Shop
西餅屋	Cake house	Cake Shop
細波妹	Fine girl	Sifanami sister
西砵	West	West Pottinger
西斜	West	West Oblique
西斜熱	West diagonal heat	Western oblique heat
篩出局	Sieve out	Sift Out
使錢	Make money	Make Money
洗錢	Laundering	Money laundering
洗大餅	Cake	Washing the large cake
細膽	Bold	Bold
細膽嘅人	Bold man	The Bold Man
洗底	Wash the bottom	Wash the bottom
使得	Make	makes
篩斗	Sieve	Sieve Bucket
洗地	Wash the ground	Wash the ground
西多	West	Western Duo
洗袋	Scrubbing	Wash bag
西多士	West Mados	Western Tor
使費	Make a fee	Make fee
細飛	Fly	Fly fine
犀飛利	Ritual	Rhinoceros
世界	world	World
世界波	World wave	World Wave
世界輪流轉	World turns	The world turns
世界女	World girl	Women of the World
世界仔	World	World Aberdeen
使頸	Neck	Make the neck
細個	Fine	Fine
洗腳唔抹腳	Wash your feet	Wash your feet
洗腳盆	Washstand	Foot Wash Basin
細嗰時	Time	Fine Time
細個仔	Fine	Carefully.
細姑	Aunt	Small aunt
細姑奶	Aunt	Small Auntie
西瓜刀	Watermelon knife	Watermelon Knife
細鬼	Fine ghost	Thin Ghost
洗黑錢	Laundering	Money laundering
勢凶夾狼	Fierce wolf	Gripper Wolf
西人	West	Western people
西柚	grapefruit	grapefruit
西柚汁	Grapefruit juice	Grapefruit juice
細姨	Auntie	Fine aunt
西洋	Western	Western
西洋菜	Western cabbage	Western-cress
西洋鬼	Western ghost	Western ghosts
西洋人	Western	Western people
西洋妹	Western girl	Western Girl
西洋參	American ginseng	Ginseng
西洋仔	Western babies	Western Tsai
使用	use	Use
細蓉	Fine	Fine Purée
誓願	Vow	vows
誓願當食生菜	Vowing to eat lettuce	Willing to eat lettuce
西芹	Celery	Celery
細舅	Unclear	Fine Uncle
西蘭花	broccoli	broccoli
西冷牛扒	West Leng Beeke	Sirloin Steak
西冷扒	West -cooled steak	Sirloin Steak
犀利	Sharp	sharp
細力	Fine	Fine
細佬	Guy	Thin Guy
細路	Detailed road	fine road
細佬哥	Brother -in -law	Slick brother
細路哥	Pint	Brother Hoilu
細佬佬	Guy	Slick
細佬妹	Guy	Slick
細路女	Detachment girl	Young Road Girl
細路仔	Sloppy road	Fine Road
細佬豬	Pork	Thin Pig
細龍門	Fine dragon door	Fine Longmen
細孖	Fine	Fine marbles
細碼	Fine code	Fine code
洗米	Wash rice	Washing Rice
洗米水	Water washing water	RICE WASHING
西文	Western language	Western
細蚊女	Mosquito woman	Fine Mosquito Woman
細蚊仔	Fine mosquito	mosquitoes carefully
使乜	Make	What to make
使乜講	Make	When to Speak
使乜 … 啫?	Make ...?	What to do... gel?
使乜 … 唧?	Make ... 唧?	What do... pouches?
洗面	Wash your face	Face Wash
洗面盆	Pelvic basin	Washbasin
洗面手巾	Facial cleanser	Face towel
洗面水	Watery	Face Wash
使唔使	Make	Do not
細妹	Fine girl	Little Sister
細粒	Fine grain	Fine grain
細女	Daughter -in -law	Fine Girl
使牛	Cow	Make Cow
洗牌沓	Shuffle	Shuffle Kutsu
西片	Western film	Western Slices
使婆	Make a mother -in -law	Make mother-in-law
洗衫	Wash shirt	Laundry
洗衫板	Laundry	Laundry Board
洗衫梘	Shampoo	Washing Soap
洗衫婆	Sanator	LAUNDRASH
西生菜	Western lethal	Lettuce
細細個	Fine	Fine one
細心	careful	Careful
細嬸	Pupil	Auntie Thin
洗身	Wash	Body Wash
洗身房	Sanatorium	Wash room
洗身梘	Wash	Body soap
洗濕個頭	Wash a wet head	Wash your head
使死呀?	Make death?	To die?
細聲	Fine	Fine sound
洗水牛仔衭	Dowdium 衭	Washed cowboy
洗水牛仔褸	Dowdium 褛	Washed Denim Jacket
細時	Timely	Fine time
細食	Stubborn food	Fine Food
細時偷針大時偷金	Stealing the needle stealing gold when it is fine	Steal the needle when the fine time stealing gold
世叔	Uncle	Uncle Shih
細叔	Uncle	Uncle fine
細餸	Fine	Fine dishes
洗太平地	Wash the peace	Wash Pacific Land
洗頭妹	Shampooing girl	Shampoo sister
洗頭仔	Shampoo	Shampoo Boy
使銅銀夾大聲	Make copper and silver loudly	Make Copper Silver Clip Loud
使橫手	Handle	Make Yokote
洗胃	Gastric lavage	Gastric lavage
細仔	Fine	Carefull
世侄	Nephew	Nephew
世侄女	Niece	Niece
細姐	Sisters	Fine sister
西紙	Western paper	Western paper
洗剪恤	Scrub	Washing cut shirt
西裝	Suit	Suit
西裝骨骨	Suction bone	Suit bone bone
西裝友	Suit friend	Suit Friends
西裝褸	Suit 褛	Blazer
噻	Bleak	Thiol
塞	Plug	Stopper
塞車	Jam	Car stopper
塞豆窿	Plug bean	Beanhole
塞住	Plug	Stopper
參	Ginseng	Ginseng
心	Heart	heart
忄	Bleak	
森	Forest	Mori
深	deep	Deep
芯	core	Core
嬸	aunt	Auntie
審	Trial	Review
沈	Sink	SHEN
瀋	Sink	Shen
糝	mix	Grits
滲	Infiltrate	Infiltration
甚	very	Very
心大心細	Be careful	heart, heart, heart
參竇	Gangster	Sinus
心多多	A lot of heart	A lot of hearts
心都離๺	The heart is away	Heart is from the heart
心機	Mind	Heart Machine
心肝椗	Heart -lived	Heart-hepatic
心肝椗,蜜糖埕	Heart and liver, honey	Sweet Home, Honey City
心口	Heart	Heart mouth
心口針	Heart needle	Heart Pin
心意咭	心 心 咭	Greeting Card
心喐喐	Heartbroken	Heart-heartful
心諗	Mind	Heartsum
心抱	Hold	Heart Hug
心抱仔	Hug	Heart Hug
心水	Heartwater	Heart of Water
心水清	Clear heart	The heart of water
心水貨	Water goods	Heart Water Cargo
心水馬	Hearth	Heart Water Horse
心思思	Thoughtful	Thoughts
心淡	Boring	Heart Light
甚至無	Not even	Not even
心知肚明	Know	Know your heart
伸	stretch	stretch
娠	pregnant	Pregnancy
新	new	NEW
申	state	Shin
紳	gentry	Gentleman
薪	salary	Salary
身	body	Body
辛	pungent	Xin
㖘	Bleak	
౸	Bleak	
呻	groan	Moan
晨	morning	Morning
神	god	deity
臣	minister	Chonen
神	god	deity
臣	minister	Chonen
辰	Dazzling	Chen
腎	kidney	Kidney
腎	kidney	Kidney
新巴	Newbak	New Bus
新潮	Trendy	Trendy
新地	New land	SHINKP
新丁	New	Newcomers
辛苦	Hard	Hard work
辛苦搵嚟自在食	Eat hard for hard work	Hard from the food
生	born	Raw
甥	nephew	Nephew
身家	Net	Body home
新界	New Territory	New Territories
新界村屋僭建物	New Territories Village House 屋 Building	UBWs in Village Houses in New Territories
新界的士	New Territories	New Territories Taxi
新界原居民	Original resident of New Territories	Indigenous inhabitants of the New Territories
新界小型屋宇政策	New Territories Small Buildings Policy	New Territories Small House Policy
新金山	Xinjinshan	New Jinshan
身紀	Body discipline	Body
新記	New note	New Kee
神經	nerve	Nerves
生命冇TAKE TWO	Life e Take Two	Life without TAKE TWO
神高神大	God Gao	Kamikoshi-kami
呻氣	Groan	groaning
新血	new blood	New Blood
腎人	Kidney	Renal
神又係佢鬼又係佢	God is also a ghost and canal	God is the ghost and he is
身有屎	Shit	Shit
神嘢	Dedicated	God Yeah
新義安	Xinyi'an	New Yi'an
新奇士	Novelty	Sunkist
新奇士橙	Novelty orange	Sunkist Orange
新嚟新豬肉	New pork	Shinshiniku Pork
神樓	God building	The God Building
新曆年	New year	New Year
新郎哥	Bride	Brother Groom
新馬	New horse	New Horse
新聞紙	News paper	News Paper
新女	New girl	New Girl
神女	goddess	Goddess
新年賀咭	New Year Heya	New Year's Greeting Card
新年頭	New year	New Year's Head
新牌	New card	New Cards
新牌仔	New man	New Cards
神婆	Puppet	Goddess
新抱	New embrace	New hug
新抱仔	Xinbao	New hug
神砂	God sand	God Sand
新沙士	New Sausi	New Sar
神心	Spirit	Divine Heart
神神哋	God	Gods
神神化化	Magicalization	Deified
神神經經	God Classic	Nerves
身水身汗	Sweaty	Body Sweat
新屎坑	New shit pit	New Shit Pit
新鮮滾熱辣	Fresh and spicy	Fresh piping hot spicy
新鮮滾熱辣新聞	Fresh and hot news	Fresh piping hot news
神仙肚	Fairy belly	Immortals Belly
神枱	Deeds	God Table
神枱桔	Shentai Orange	Shentabi Orange
神枱貓屎	Shentai cat feces	God table cat feces
新扎	New Zha	New tie
新扎師兄	Brother Xinza	Xinzha
新仔	Xinzi	SINCHAI
神憎鬼厭	Disgust and hate	God Hate
身子	Body	Body
神字邊	Versatile	God's Edge
新正頭	New head	New Positive Head
晨早	Morning	Morning.
晨早扯旗	Morning flag	Morning flag
神主牌	Masterpiece	Lord of God
溼	wet	Wet
澀	astringent	astringent
濕	wet	Wet
十	ten	ten
拾	pickup	pick
濕柴	Wet firewood	Wet Chai
濕貨	Wet goods	Wet Goods
濕貨街市	Wet market	Wet Market
十個	Ten	Ten
十號波	No. 10 wave	Wave 10
十號風球	No. 10 Wind Ball	Typhoon signal No. 10
濕熱	Damp heat	Damp heat
十蚊大餅	Ten mosquito big cakes	Ten Mosquito Cake
十問九唔應	Ten questions	Ten questions 9 should not
濕淰淰	Wet	Wet wetting
濕㲷㲷	Wet	Wet wetting
十年唔逢一閏	Ten years, you will meet	Ten years not a leap
濕平	Wet	Wet Flat
十扑	Pour	Ten Flutter
十三點	Thirty o'clock	Thirteen Points
濕濕碎	Wet and wet	Wet Shredded
濕濕碎碎	Wet and wet	Wet Smash
十四K	Fourteen K	Fourteen K
十四仔	Fourteen	14 Tsai
濕碎	Wet	Wet Crushed
濕水雞	Wet water chicken	Wet Water Chicken
濕水狗上岸	Wet water dog ashore	Wet Water Dog Landed
濕碎嘢	Wet 嘢	Wet Shredding
濕水炮仗	Wet water cannon	Wet Pat
濕星嘢	Wet star	Wet Star
十成十	Ten percent	Ten Ten
十畫都未有一撇	There are no one with ten paintings	Ten paintings are not a handful
濕滯	Stagnation	Wet hysteresis
十字車	Cross car	Cross car
十字鋤	Cross hoe	Cross Hoe
十字架	cross	The Cross
十足十	Full	Ten Ten
十足十 … 噉	Top ten ...	Fifty Ten
失	lose	LOST
室	room	Room
膝	knee	Knees
虱	louse	Lice
蝨	louse	Lice
實	Reality	Real
失打	Be fascinated	Misbeating
失婚	Get married	Loss of marriage
失更	More than	Lost more
失驚無神	Unhappy	Stunned without God
實჈჈	Solid	Real
實Q	Real Q	Real Q
失禮	Rude	Discourtesy
虱乸	Lice	Lice
虱乸膥	膥 膥 膥	Lice
虱乸都要擔枷	Lice 枷 must be buried	Lice have to bear flail
實牙實齒	Solid teeth	Solid Teeth
失失慌	Panic	Panic
失匙夾萬	Spoon	Lost key clip million
失蹄	Lose their hoof	blundered
膝頭	Knee	Knees
膝頭๭	Knee ๭	Knee-hyssop
膝頭蓋	Knee	Knees
失魂	Soul	Lost Souls
失魂雞	Soul chicken	Lost Soul Chicken
失魂魚	Soulfish	Lost Soulfish
實枳枳	Real Antihoda	Hovenia
實淨	Solid	Real net
失咗蹤	Disappear	Missing
修	build	repair
收	receive	close
羞	shame	Shy
餿	rancid	
搜	Search	SEARCH
守	Shou	Shou
手	hand	hand
扌	Bleak	
艘	Ship	ships
蒐	Search	search
首	head	first
獸	beast	Beast
瘦	thin	Skinny
秀	show	Show
繡	Embroidery	embroidery
鉎	Bleak	
銹	rust	Rust
仇	hatred	feud
愁	worry	Worry
受	by	subject
售	Sell	Sale
壽	life	longevity
授	Grant	Granting
手鈪	Handle	Bangle
手坳	Handle	Hand Pass
受靶	Target	Target subject
手板	Handboard	Hand plate
手板係肉,手背又係肉	The hand plate is meat, and the back of the hand is meat	Hand plate is meat, the back of the hand is meat
手板心	Handle heart	Hand plate heart
手板堂	Handle hall	Hand Board Hall
手啤機	Hand beer	Hand beer machine
手臂	arm	ARM
收BAND	Band	BAND RECEVE
手錶	watch	Watch
手錶店	Watch shop	Watch Shop
手錶行	Watches	Watch Row
手錶舖	Watch shop	Watch Shop
首本	First	First copy
手抽	Hand pump	Hand Drawn
手粗粗	Thick hand	Hand Coarser
收大信封	Envelope	Enclose the envelope
收得	Obtain	RECEvested
收嗲	Collect	Whine closing
手多多	A lot of hands	A lot of hands
手袋黨	Handbag party	Handbags Party
收檔	Close	File collection
收到	receive	RECEieved
手動波	Manual wave	Manual wave
手快有,手慢冇	His hands are fast, your hands are slow	Hands are fast, slow hands
收科	Obtain a subject	Acceptance
收風	Gesture	Winds
手風	Style	Hand wind
手風好順	The wind is so smooth	Hand wind is good
羞家	Shameful home	The shame
仇家	Revenge	Enemy
手甲	Hand armor	Hand Armor
手骹	Handle	Handles
手緊	Tight	Tight hands
受梗薪	Sink salary	Terrier
手巾仔	Hand towel	Tenugui
收工	knock off	Recall
手瓜	Hand melon	Hand Melon
手瓜起柌	Hand melon 柌	Hand Melon
手瓜硬	Hard melon	Hand melon hard
手骨	Hand bone	Hand bone
瘦骨ფ柴	Slim bone 柴 柴 柴 柴 骨	Lean firewood
瘦骨仙	Lean bone fairy	Lean Bone Fairy
收黑	Hack	black-close
收黑錢	Hack	charge money
手痕	Hand mark	Hand marks
守行為	Abide by	Conservative behavior
手痕痕	Hand marks	Hand marks
收口	Close	close
仇口	Revenge	Qiukou
收音咪	Radio	Radio microphone
受人二分四	Two -point	Subject to two quarters
修游	Repair	Tour
收油	Oil collection	Oil Recovery
收嘢	Collect	Collect
手軟	Soft hand	Soft Hand
受軟唔受硬	Soft and hard	Subject to soft and hard
受軟受硬唔受激	Soft and hard	Not aggrated by soft and hard
手扣	Handcuffs	Hand clasp
首期	First phase	First Phase
收規	Regulations	Receiving Gauge
守禮拜	Keep worship	Worship
收樓	Close	Referebuilding
收Ⴡ	Tadpole	Collapse
受力	Force	Force
受落	Suffer	fall
收馬	Collect a horse	close horse
收๺	Tadpole	Collapse
收買人命	Buying	Acquiring Human Life
收๺一二角	Close ๺ one and two corners	Collapse one or two corners
收買佬	Buyer	Buyman
瘦蜢蜢	Slim 蜢 蜢 蜢	Slender Grasshopper
手襪	Hand socks	Hand socks
收唔到	Receive	Not received
收屘	Puppet	Collapse
收尾	ending	close
手尾	Tail	Hand tail
手尾長	Tail	Hand and tail length
收屘嗰個	Take the pupae	Collecting
手眼	Hand -eye	Hand & Eye
手硬	Hard -handed	Hard hands
手拗	Stubborn	Hand Tate
收銀	Cashier	Cashier
收銀員	Cashier	Cashier
收皮	Leather	Skin collection
收片	Clip	Receipt
收山	Hill	Mt. Harvest
守生寡	Conservation widow	Widow
收細	Section	close
手勢	gesture	Gestures
手勢慣	Gesture	Gesture Habit
手心又係肉,手背又係肉	The palm of the hand is meat, the back of the hand is meat	The hand is meat, the back of the hand is meat
收身	Take over	Collapse
手神	Handle	Hand God
受薪	Pay	Salaried
收受波纜	Wave cable	Acceptance Cable
收聲	Shut up	Sound Collapse
收水	Water collection	Water harvesting
守水塘	Pond	Keep the reservoir
收稅主任	Taxation chief	Tax Collection Officer
收順	Go to	receivers
手信	Hand letter	Hand letter
壽司	Sushi	Sushi
收線	Closure	Revenues
壽星公	Shouxinggong	Shouxing Gong
壽星公吊頸	Shouxing Gonglian neck	Shouxing hanging neck
手疏	Handle	Thinning hands
瘦削	Lean	Skinny
收數	Income	Collected
收數公司	Income company	Collecting Companies
收數佬	Script	Counting Guy
收睇	End	Watch
手提	portable	Portable
手提電腦	laptop	Laptop Computer
手提鑿岩機	Handle	Hand-held Rock Driller
手騰腳震	Shock	Handy Foot Shock
手揗腳震	Shock	Handy Foot Shock
壽頭	Longevity	Shoutou Tau
手停口停	Hand -stop	Hand, stop, stop.
瘦田冇人耕,耕開大家爭	Thin fields are farming, and everyone is fighting for everyone to fight	Skinny field no people farming, cultivate for everyone
收陀地	Harvest	Harvest Land
手搵口食	Stuck	Hand & Mouth
手㬹	Handle	Handles
手踭	Elbow	elbow
收掣	Closure	Retracts
手仔	Handle	Hand Boy
手掣	Handle	Hand Switch
壽仔	Shouzai	Shouzai
手枕	Hand pillow	Hand pillow
手震腳震	Hand shock	Hand & Foot
手指拗出唔拗入	Fingers 唔 唔 唔 手 手 手	Fingers out
手指拗入唔拗出	Pull in your fingers	Fingers in and out
手指骹	Finger 骹	Finger Pit
手指公	Finger	Fingers
首席	chief	Chief
手唧車	Handle	Hand Pallet Trucks
手指罅	Finger 罅	Finger Pit
手指罅疏	Finger	spenchy fingers
手指纈	Finger 缬	Finger Valerian
手指尾	Finger	Finger Tail
手指模	Finger mold	Finger Mould
修整	Repair	trimming
手指指	Finger	finger finger
手指尖	Tip	Finger tip
手指節	Finger	Finger Festival
手作	Hand made	Hand made
手作仔	Hand -made	Hand made
收租公	Collect the lease	Rent collection
收租佬	Lease	Rent collection guy
收租婆	Lessee	Rent collection
些	some	Some
賒	buy on credit	credit
寫	Write	Write
捨	Abandon	Discard
卸	Unload	Unloading
瀉	diarrhea	Epsom
舍	Abandon	Re
赦	amnesty	pardon
瀉	diarrhea	Epsom
猞	Bleak	Lynx
蛇	snake	Snakes
蛇	snake	Snakes
社	society	Society
射	shoot	Shoot
麝	musk deer	Musk
寫包單	Write a bag	Write a single package
射波	Shot wave	Shot wave
卸膊	Unload	Shoulder unloading
寫菜	Write dish	Writing dishes
蛇蟲鼠蟻	Snake	Snake and Pest Ant
寫單	Write list	Write a single
蛇竇	Snake	Snakes
蛇都死	Snake died	Snakes Are Dead
蛇匪	Snake	Snake Bandit
舍監	Give up a prisoner	Residential prison
社工	Social worker	Social worker
蛇果	Snake fruit	Snake-fruit
蛇客	Snake	Serpent
射吓佢	Scarlet canal	Scared him.
死	die	die
四	Four	Four
四	Four	Four
四呀一	Four	Four. One.
四八九	Seven or eight or nine	Four, eight, nine.
死八公	Dying	Dead Hachiko
死八婆	Eight wives	Dead Eight Grandma
死畀你睇	Death you	Die for you
四邊	four sides	Four Sides
四便	Four stools	Four stools
死鏟	Shovel	Dead shovel
死撐	Dead support	Death Support
死車	Dead car	Dead Car
死蠢閪	Stupid 閪	Dead Stupid
死纏爛打	Bleak	stalker
四川妹	Sichuan Girl	Sichuan sister
四大天王	Four kings	Four kings
死得人多	There are a lot of death	More people die.
四點底	Four o'clock	Four Point Bottom
死頂	Dying	Dead Top
死黨	Dead party	The Dead Party
死都拗翻生	Destiny	Death is overturned
死都有份	There is a share of death	I have a share of death.
死都唔ට	Deadly ට ට ට ට ට ට	Not to Die
四塊半	Four and a half	Four and a half
死火	Dead fire	Fire
死火燈	Dead fire lamp	Fire Light
四方櫈	Square stool	Square Bench
四方框	Square frame	Four Box
四方木	Sifangmu	Quartet Wood
四方木頭	Square wood	Quartet Wood
四方枱	Square table	Square Table
死雞撐飯蓋	Dead chicken support rice cover	Dead Chicken Rice Bowl
死雞撐硬腳	Dead chicken supports hard feet	Dead chicken support stiff feet
四九	Four or nine	Forty-nine
四九仔	Si Jiuzi	Forty-nine
四腳叉	Spoil	Four Prong Fork
四腳架	Four tripod	Quad Stand
四腳扒扒	四 扒 扒 扒 扒	Four-legged Steak
四腳蛇	Four -legged snake	Four-legged snake
四個骨衭	Four bones	Four bones
死角	Dead corner	Dead End
四角豆	Tadie bean	Four Corners
死咕咕	Cooker	Dead Cuckoo
死局	Dead bureau	Dead
死鬼	devil	Dead Ghosts
死鬼佬	Ghost	Dead Ghosts
死過翻生	Dying	Dead Overturn
死慳爛抵	Die	Dead and Save
死慳死抵	Die	Dead, Save Dead
死口	Dead mouth	Dead mouth
死氣喉	Qi	Dead Air Throat
四號	No. 4	Number four.
四號粉	No. 4 powder	No. 4 Powder
四紅一白	Four red and one -white	Four red and one white
死忍	Tolerance	Death Endurance
死人	dead	Dead Man
死人尋舊路	Deadly seeking the old road	Dead Man Seeking Old Roads
死因裁判法庭	Death Ecleas Court	Coroner's Court
死因裁判官	Referee	coroner
死人燈籠	Dead lantern	Lantern of the Dead
死人咁惡	Deadly evil	Dead people are so evil
死人兼冧屋	Dead and House	Dead and Rum House
死人婆	Dusk	Dead Mother-in-law
死人頭	Head	Dead Head
四邑	Siyi	Four Yap
四一五	Fifth five	Four one five
死嘢	Death	Dead.
四二六	Four -six	Four, two, six.
四二六雙花紅棍	Four two six pairs of red sticks	Four twenty-six pairs of red sticks
死魚	Dead fish	Dead fish
四級片	Four -level film	Grade 4
四驅車	Four -wheel drive	4WD
死啦	Dead	Dead
死喇	Dying	Dead La
死力	Dead force	Death Force
死纈	Daemon	Dead valerian
死༱	Be dead	Death Kills
死༱爛༱	Dead ༱	Dead Rotten
死佬	Dead guy	Dead Guy
死老鬼	Old ghost	Dead Old Ghost
死路一條	Dead road	A dead end
死老嘢	Old -fashioned	Dead old
死碼	Coding	Dead code
四萬	forty thousand	Forty thousand
四萬噉口	40,000 tadpoles	Shimanokou
死唔眼閉	Dead eyes closed	Eyes Closed
死唔死	Die	Die Not To Die
死唔斷氣	Dying	Dead to Breath
死妹釘	Nail	Dead Sister Nails
死女	Daughter -in -law	Dead Woman
死女包	Dwarf women's bag	Dead Lady Bag
四眼	Four eyes	Four Eyes
四眼佬	Four -eyed	Four-eyed
四眼妹	Four -eyed girl	Four-eyed sister
四眼婆	Four -eyed mother -in -law	Four-eyed Mother-in-law
四眼仔	Four Eyes	Four Eyes
死牛一便頸	Dead cow's neck	Dead cow with a poop
死婆	Dusk	Dead Mother-in-law
四三八	438	Four, three, eight.
四三二	Four -two	Four, three, two.
死心不息	Endless	Dead heart
死實ၸၸ	Deadly ၸ ၸ ၸ ၸ	Dead real
死實爛實	Dazzling	Dead, real, bad
死死地氣	Mighty	Dead to death
死死吓	Scary	Death Scared
死死氣	Be angry	Dead gas
四四六六	Four Four Six Sixth	Four, four, six, six.
死蛇爛鱔	Dead snake	Dead Moray Eel
死性不改	Dead nature will not change	Dead No Change
死仔	Dying	Dead Boy
四仔	Sizi	Sad Tsai
死仔包	Babies	Dead Boy Pack
四仔爺	Si Ziya	Grandpa Sze Tsai
四仔乸	Si Zi 乸	Sze Chai Wan
四仔片	Four -babies	Four Slices
四仔主義	Four -babianism	Four Sazi
死淨把口	Cleans	Dead Net Mouth
死咗	Die	Dead
四張嘢	Four sheets	Four Zhang Yeah
死咗條心	Deadly	Dead Heart
死做爛做	Deadly bad	Dead doing rotten
死豬唔怕滾水淥	Dead pigs are afraid of rolling water	Dead pigs are not afraid of boiling water
死絕種	Dead species	Dead extinction
蛇有蛇路,鼠有鼠路	Snake has snake roads, rats have rats	Snake Road, Rat Road
惜	Cherish	Cherish
錫	tin	Tin
鍚	Bleak	Tin
ჶ	Bleak	
石	stone	Stone
石	stone	Stone
石壆	Stone pupae	Shek Pok
石膥	Stone pupae	Stone cilanite
鍚啖	Cricket	Tin Tawings
石地塘鐵掃把	Shiti Tong Tie Sweeping	Shek Tei Tong Rail Broom
石狗公	Shigougong	Stone Dog
鍚吓	Scary	Tin Scared
鍚一啖	钖 啖 啖	A Taste of Tin
石級	Stone level	Stone class
石Q	Stone Q	Stone Q
石叻	Stone lab	Shilatak
石米	Stone rice	Stone rice
錫士	Tin	Tin Shih
石屎	Shit	Concrete
石屎樓	Stone tower	Concrete House
石仔	Stone	Shek Tsai
錫紙	Tin foil	Tin Paper
些厘	Some	Some PCT
射喱眼	Shotci	Laser-eyed
些厘酒	Liquor	Some Rin
SEM	Sem	SEM
SEMINAR	Seminar	Seminar
仙	Fairy	Sin
先	First	First
社女	Club girl	Society Girl
社女大本營	Social Girl Camp	Women's Basic Camp
聲	Voice	Sound
腥	fishy	Fishy
醒	Awake	Wake up
鍟	Bleak	
城	city	City
成	become	into
成村人	Village	People from Seimura
聲大夾冇準	Daisheng	Sound clip is not accurate
聲大夾惡	Great vocal	Sound Big Clip Evil
醒瞓	Wake up	Wake Up
成個	One	into a
成個靚晒	Be a pretty sun	Into a beautiful
聲喉	Sound	Voice & Throat
聲氣	Sound	Sound gas
成日	Day by day	adult day
